timestamp_ms,ear,neck_angle,shoulder_diff,head_yaw,head_pitch,face_detected,phone_detected,label
1778199674813,0.3292,25.61,19.44,23.99,5.94,1,0,drowsy
1778199674846,0.3581,25.12,18.38,24.1,5.76,1,0,drowsy
1778199674879,0.3262,25.08,18.72,23.84,5.88,1,0,drowsy
1778199674913,0.3197,25.09,18.06,24.0,5.94,1,0,drowsy
1778199674946,0.323,24.98,17.86,24.01,6.02,1,0,drowsy
1778199674979,0.3331,25.06,18.55,24.19,5.98,1,0,drowsy
1778199675013,0.3,25.29,17.82,24.01,6.0,1,0,drowsy
1778199675046,0.3196,25.1,22.26,24.26,6.94,1,0,drowsy
1778199675079,0.2942,25.06,22.79,23.88,7.96,1,0,drowsy
1778199675113,0.2852,25.04,24.19,23.92,7.71,1,0,drowsy
1778199675146,0.3151,25.03,24.54,23.68,8.51,1,0,drowsy
1778199675179,0.2819,25.09,24.08,23.82,8.06,1,0,drowsy
1778199675213,0.2659,25.01,25.49,23.81,8.51,1,0,drowsy
1778199675246,0.1025,24.86,25.27,23.54,9.44,1,0,drowsy
1778199675279,0.1099,24.8,25.0,23.56,8.96,1,0,drowsy
1778199675313,0.0895,24.52,20.23,23.49,9.68,1,0,drowsy
1778199675346,0.0946,24.56,19.7,23.67,9.61,1,0,drowsy
1778199675379,0.1048,24.4,19.38,23.64,9.74,1,0,drowsy
1778199675413,0.0847,24.46,18.98,23.72,9.49,1,0,drowsy
1778199675446,0.1094,24.81,19.17,23.81,8.93,1,0,drowsy
1778199675479,0.0978,24.91,19.32,23.83,9.32,1,0,drowsy
1778199675513,0.0816,24.91,20.24,23.6,9.14,1,0,drowsy
1778199675546,0.0882,24.78,24.88,23.55,8.93,1,0,drowsy
1778199675579,0.1112,25.87,23.61,23.42,5.85,1,0,drowsy
1778199675613,0.0902,26.43,23.55,23.38,6.3,1,0,drowsy
1778199675646,0.1066,27.54,21.2,23.24,4.66,1,0,drowsy
1778199675679,0.1086,28.07,19.46,23.26,4.85,1,0,drowsy
1778199675713,0.1063,28.61,17.63,23.23,4.1,1,0,drowsy
1778199675746,0.1005,28.8,17.32,23.19,3.52,1,0,drowsy
1778199675779,0.109,29.08,15.39,23.12,1.74,1,0,drowsy
1778199675813,0.0898,29.38,15.21,22.88,2.31,1,0,drowsy
1778199675846,0.1015,29.54,15.33,23.04,1.84,1,0,drowsy
1778199675879,0.0941,29.76,15.8,22.9,2.02,1,0,drowsy
1778199675913,0.0945,30.1,15.75,23.07,1.84,1,0,drowsy
1778199675946,0.0865,30.3,16.27,22.88,2.26,1,0,drowsy
1778199675979,0.0849,30.33,16.19,22.78,2.1,1,0,drowsy
1778199676013,0.0885,30.31,16.23,22.83,2.37,1,0,drowsy
1778199676046,0.086,30.29,15.8,22.84,2.29,1,0,drowsy
1778199676079,0.0914,30.16,15.56,23.01,2.52,1,0,drowsy
1778199676113,0.0884,29.98,14.63,23.03,3.26,1,0,drowsy
1778199676146,0.0786,30.0,14.41,22.93,3.54,1,0,drowsy
1778199676179,0.0877,29.95,14.31,23.03,3.43,1,0,drowsy
1778199676213,0.0762,30.08,14.87,22.98,3.76,1,0,drowsy
1778199676246,0.0804,30.2,13.64,23.06,3.84,1,0,drowsy
1778199676279,0.0806,30.13,13.54,23.13,4.15,1,0,drowsy
1778199676313,0.08,30.06,13.27,22.94,4.24,1,0,drowsy
1778199676346,0.0753,29.89,11.49,23.02,4.8,1,0,drowsy
1778199676379,0.0724,29.88,11.52,23.19,4.75,1,0,drowsy
1778199676413,0.0755,29.87,10.66,23.2,4.7,1,0,drowsy
1778199676446,0.0721,29.67,11.65,23.12,4.3,1,0,drowsy
1778199676479,0.0782,29.58,11.71,23.16,4.6,1,0,drowsy
1778199676513,0.0848,29.63,11.56,23.12,4.75,1,0,drowsy
1778199676546,0.0787,29.53,12.07,23.25,4.8,1,0,drowsy
1778199676579,0.079,29.37,12.23,23.41,4.73,1,0,drowsy
1778199676613,0.0686,29.35,12.82,23.07,4.91,1,0,drowsy
1778199676646,0.0755,29.31,12.44,23.08,4.74,1,0,drowsy
1778199676679,0.0761,29.42,12.62,23.1,4.28,1,0,drowsy
1778199676713,0.0609,29.44,13.27,23.05,4.66,1,0,drowsy
1778199676746,0.0687,29.34,12.77,23.02,4.4,1,0,drowsy
1778199676779,0.0597,29.29,12.24,23.06,4.46,1,0,drowsy
1778199676813,0.08,29.31,11.85,22.81,3.75,1,0,drowsy
1778199676846,0.0739,29.45,12.84,22.86,4.03,1,0,drowsy
1778199676879,0.0712,29.51,14.37,23.04,2.99,1,0,drowsy
1778199676913,0.0667,29.47,14.32,22.97,3.21,1,0,drowsy
1778199676946,0.0546,29.45,14.01,23.04,2.98,1,0,drowsy
1778199676979,0.0696,29.33,12.62,22.92,2.67,1,0,drowsy
